RoleClassLibName,Name,Parent,Attributes?,ID,Description,Recommendations,
AutomationMLBaseRoleClassLib,AutomationMLBaseRole,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Group,AutomationMLBaseRole,Yes,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Facet,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Resource,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Product,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Process,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,Structure,AutomationMLBaseRole,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,ProductStructure,Structure,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,ResourceStructure,Structure,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,ProcessStructure,Structure,No,Yes,Yes, -,
AutomationMLBaseRoleClassLib,ExternalData,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLControlIndustryRoleClassLib,ControlEquipment,Resource,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,Communication,ControlEquipment,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,ControlHardware,ControlEquipment,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,PC,ControlHardware,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,IPC,ControlHardware,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,EmbeddedDevice,ControlHardware,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,Handheld,ControlHardware,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,Sensor,ControlEquipment,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,Actuator,ControlEquipment,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,Controller,ControlEquipment,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,PLC,Controller,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,NC,Controller,No,No,No,-,
AutomationMLControlIndustryRoleClassLib,RC,Controller,No,No,No,-,
AutomationMLBaseRoleClassLib,AutomationMLBaseRole,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Group,AutomationMLBaseRole,Yes,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Facet,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Resource,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Product,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Process,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Structure,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,ProductStructure,Structure,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,ResourceStructure,Structure,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,ProcessStructure,Structure,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,ExternalData,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBaseRoleClassLib,Frame,AutomationMLBaseRole,No,Yes,Yes,-,
AutomationMLBMIRoleClassLib,BatchManufacturingEquipment,Resource,No,No,No,-,
CommunicationRoleClassLib,PhysicalDevice,Resource,No,Yes,Yes,-,
CommunicationRoleClassLib,PhysicalEndpointlist,AutomationMLBaseRole,No,Yes,Yes,-,
CommunicationRoleClassLib,PhysicalConnection,Resource,No,Yes,Yes,-,
